de,plx,ra,vmag,absmag
9.02971927,0.0,97.52332845,6.57,-23.429999828338623
-57.63881373,-0.01,156.85199279,4.65,14.650000068545964
-59.91916925,-0.01,162.0225662,5.98,15.979999992252019
30.16786631,0.01,115.58060328,6.69,16.69000003039899
64.85496037,0.02,27.8205245,6.54,18.045149902494103
-60.91073438,-0.02,165.7756803,6.67,18.17515001693502
-56.42051347,0.03,163.38926255,6.45,18.835606041565498
60.32478527,-0.03,9.63935774,6.77,19.155606213226875
-59.73219545,-0.04,164.45080678,6.36,19.370300047046705
20.13845865,0.1,90.9799315,4.64,19.639999901014527
-26.34823475,-0.06,125.70808174,5.88,19.770756321442068
-57.93560109,0.04,160.22108366,6.9,19.910300008899732
-64.30391944,0.04,165.45722223,6.94,19.95029997075276
-57.32542915,-0.04,161.82951586,6.96,19.970299951679273
56.73938634,-0.07,54.43395927,6.53,20.75549042222673
-16.23450762,-0.09,107.3890235,6.0,20.77121263589593
-59.74099315,0.06,165.69258683,6.96,20.850756245148123
-23.77541233,0.08,114.32055484,6.34,20.855450041725756
6.34541897,-0.08,100.49679354,6.36,20.87545002265227
-5.94264599,-0.07,112.99243757,6.84,21.06549036500627
78.72604828,0.1,20.94506566,6.07,21.070000206190308
54.94486941,0.07,23.3597807,6.92,21.145490288712324
18.55131834,0.08,87.76927674,6.76,21.2754501180197
3.93253483,-0.14,100.91102453,5.88,21.61064030362815
-60.3176307,0.26,168.15008453,4.59,21.664866813628027
57.49939052,0.28,358.59598888,4.51,21.745790395613447
-28.9548352,-0.37,115.95196716,3.94,21.781008706127146
62.21451996,0.2,357.20906201,5.43,21.935149840101722
-51.5606599,0.17,139.67650557,5.83,21.982244554715322
54.9942118,0.11,6.4239597,6.78,21.986963625807192
-44.86791223,-0.26,137.76834415,4.99,22.0648664321583
5.86700418,0.12,97.63723923,6.7,22.09590599277663
-53.59344032,-0.12,137.22264458,6.81,22.205906126291033
37.43867717,-0.13,80.1794994,6.79,22.35971664540844
11.75623099,0.15,95.21715989,6.54,22.42045634486564
-29.30311979,1.02,111.02377104,2.45,22.493000866100754
-0.57240664,0.16,97.19609935,6.52,22.540599847027117
59.57454122,-0.17,11.6769419,6.41,22.562244478421377
71.74384538,0.22,19.04959061,5.87,22.582113278890798
9.30659431,0.57,158.20281305,3.84,22.61937416566434
66.34266029,0.47,73.51254425,4.26,22.620489513514787
-58.97504198,0.55,167.14748181,3.93,22.63181356168863
64.53228799,-0.14,14.2310721,6.98,22.710640208260717
24.24969579,-0.24,89.23382284,6.03,22.931056370734968
-58.19015734,0.24,158.35582196,6.09,22.99105631351451
23.09552528,0.49,168.80101292,4.56,23.01098038562807
-25.50383857,0.2,115.91296944,6.56,23.06514995454264
-26.39320776,1.82,107.09785853,1.83,23.130357045541487
-58.66675023,0.29,158.19923561,5.98,23.291989946833677
-8.20163919,4.22,78.63446353,0.18,23.306562154051946
36.1685465,0.28,74.08369522,6.1,23.33579007136418
48.24928669,0.21,91.46857568,6.77,23.38109638783356
-44.72482773,0.47,127.36453332,5.03,23.3904894944413
-23.31560155,0.52,109.153487,4.83,23.410016562648508
-58.73334704,0.4,159.36281779,5.47,23.48029977973179
-21.17386366,0.22,111.28319954,6.8,23.51211358406658
-23.83330131,1.27,105.75613986,3.02,23.539018553265038
-47.60552656,0.25,128.22408456,6.57,23.559700215890153
-12.88689038,0.22,27.5658991,6.88,23.592113507772634
59.94033461,0.76,52.26722684,4.21,23.614067972588263
-1.20191725,2.43,84.05338572,1.69,23.618031484956287
52.33716162,0.22,10.65830916,6.94,23.652113450552175
62.93178781,0.79,8.24994391,4.17,23.65813559200171
-10.82986706,0.24,131.53982244,6.79,23.691056122779646
48.51677663,0.24,25.79628206,6.82,23.721056332587995
-59.21576469,0.48,160.66905761,5.36,23.766206272308537
-10.82446268,-0.24,104.28910004,6.9,23.80105625629405
-46.64875492,1.05,130.15656369,3.77,23.875946377869795
-57.24041437,0.54,163.12855279,5.26,23.92196911468536
-42.98728888,0.7,122.85790344,4.73,23.955490182475025
-61.94717969,0.59,167.14169012,5.11,23.96426009556922
5.0844106,-0.26,102.94063899,6.91,23.984866508452246
-40.00318846,2.33,120.89612561,2.21,24.04677957226717
43.82331397,1.6,75.49222507,3.03,24.05059991716257
-5.22648597,0.39,112.71307331,6.24,24.195322727158313
32.1920314,0.8,83.18197584,4.71,24.225450005735585
34.68768289,-0.6,38.94498948,5.38,24.270756453007607
-19.28031128,-0.44,109.75800519,6.06,24.277263313937645
23.11346966,-0.51,92.4332724,5.75,24.28785084031002
68.16879623,0.36,72.8056397,6.54,24.32151255257921
52.65540783,0.33,57.36487911,6.73,24.322569805407504
-6.00926927,0.55,83.75419279,5.67,24.371813571225374
7.08571682,0.42,96.30416365,6.26,24.37624661359177
25.48445522,-0.33,102.43012659,6.8,24.39256997706888
6.90188322,-0.31,99.69969717,6.94,24.396808543792922
-0.25951829,0.35,108.32662942,6.68,24.400340013730467
16.76266572,1.53,151.83313948,3.48,24.403457132697966
-30.20276206,0.39,146.34172832,6.45,24.405322765305286
-24.95438447,1.02,109.67703283,4.37,24.41300070397612
-20.8300972,0.32,106.22338827,6.89,24.41574971022752
-65.07201888,2.01,146.7755734,2.92,24.43598035320155
18.70436891,0.36,86.29801319,6.67,24.45151266702013
53.05859199,0.39,33.38962584,6.5,24.45532295604015
16.07900547,0.56,105.06593512,5.73,24.47094016373724
-52.69571799,10.43,95.98787763,-0.62,24.471421600921133
-17.05424675,1.06,104.03427636,4.36,24.48652934282363
-10.08150589,0.52,97.54700158,5.92,24.5000167152364
-24.04380025,-0.38,107.20585434,6.65,24.548918051774535
22.19027415,0.53,92.38517315,5.93,24.5513790595328
49.28789903,0.85,96.22459158,4.92,24.567094766029037
-17.82229227,2.54,83.18255798,2.58,24.604168474278993
12.05813815,-0.36,102.50909074,6.85,24.631512495358752
-54.5677973,1.69,149.2156452,3.52,24.65943357764565
-44.26574592,0.81,139.09598912,5.12,24.66242498661201
-47.33661177,3.88,122.38314727,1.75,24.694158692074758
-5.90989984,2.46,83.85825475,2.75,24.70467556927797
-48.60144811,0.65,114.57588221,5.68,24.744566532237837
57.08432152,-0.5,42.37807146,6.25,24.744850022114388
-1.94257841,3.99,85.18968672,1.74,24.744864493215076
-14.52390109,0.97,113.44986614,4.82,24.75385890726422
11.9075614,0.5,104.35661187,6.26,24.754850250996224
4.75701524,0.6,128.4311946,5.89,24.780756205052285
6.68099495,0.43,109.32416101,6.64,24.807342181008476
-40.55471679,-0.38,135.52860251,6.91,24.808917803819213
-55.37321732,0.46,148.25043836,6.5,24.81378919827162
-51.73709116,0.57,140.99724486,6.05,24.82937444222989
23.27451163,0.38,94.84384719,6.95,24.84891776567224
7.40703634,7.63,88.79287161,0.45,24.862622710451433
-11.92328376,0.44,107.01433246,6.65,24.867263466525536
-23.02429924,1.01,112.4642256,4.85,24.871606753257044
-43.40045038,0.48,123.02525761,6.48,24.88620615786762
51.43309422,0.57,4.42944015,6.11,24.889374385009432
49.04059717,-0.41,58.85354784,6.85,24.91391916981992
0.17712559,0.61,110.51448965,5.99,24.916648997451194
-59.85890272,0.47,166.23988789,6.57,24.930489456294328
-60.117788,0.5,160.96777327,6.45,24.944849831379525
-10.34657429,0.56,107.33437727,6.23,24.97094016373724
-24.18422296,1.65,103.53314518,3.89,24.977419794728384
-25.93718054,1.32,117.02156206,4.4,25.002869837847744
-0.2990934,3.56,83.00166562,2.25,25.007249955022942
11.25138166,0.59,97.78983509,6.17,25.02426003834876
-24.55870761,1.09,109.66825335,4.88,25.067132670839317
-37.09748689,2.98,109.28568399,2.71,25.081081372499625
15.35892961,0.49,110.75579824,6.66,25.11098029026064
-27.35637407,0.63,108.40188094,6.12,25.116702616736134
-31.66117313,0.51,115.21915972,6.6,25.13785074494259
52.64132705,0.48,58.9100876,6.74,25.146205909912297
58.87875244,1.32,52.47810837,4.55,25.152869933215175
-59.22976797,1.65,143.61109601,4.08,25.167419613530264
33.95806265,1.06,80.00383769,5.05,25.17652940004409
-46.37322729,1.66,117.30957923,4.1,25.200540301300578
48.56998491,0.63,43.3377866,6.23,25.22670275025054
61.87959637,0.49,5.1815187,6.8,25.250980633583392
61.22280406,0.86,0.40424537,5.58,25.252492216296346
-24.85978401,2.42,117.32357809,3.34,25.259076812619952
27.572367,0.7,90.25189136,6.04,25.265490125254566
-59.67692226,0.61,160.32301986,6.35,25.2766491309656
4.95666675,-0.68,99.4696009,6.14,25.302544453176672
35.79102701,1.84,59.74124892,3.98,25.30408917363087
57.41216874,-0.72,358.8910131,6.03,25.316662778552846
42.10896549,0.57,83.36966732,6.55,25.32937444222989
-9.66960186,4.52,86.93911641,2.07,25.345692098184575
-48.10294824,1.68,118.32567862,4.22,25.346546131153637
-23.41843727,1.59,97.96403433,4.34,25.34698581991207
-64.17228466,1.04,157.21915426,5.27,25.35516659798008
62.33010752,0.48,61.96414334,6.95,25.35620594805927
-62.50792328,2.16,146.31178147,3.69,25.3622688993622
-35.48904976,0.52,163.25545374,6.79,25.37001660079548
-32.04174658,-0.49,109.08079341,6.92,25.370980519142474
50.12198828,0.59,20.46642194,6.54,25.394259923907843
-44.89873417,0.75,139.016808,6.02,25.395306298174543
6.13538051,-0.74,99.35017866,6.05,25.396158817668017
56.58247875,-0.52,28.73488453,6.82,25.40001681060383
-45.91251639,0.99,131.62729635,5.43,25.40817582246367
-59.50953829,5.16,125.62860299,1.86,25.423248458270002
-34.57853383,0.49,123.26757614,6.99,25.440980213966693
31.88365776,3.32,58.53299363,2.84,25.445690289091814
64.39002289,0.94,30.75078582,5.59,25.45563941530974
-1.75648542,0.71,103.67517925,6.2,25.456291487539954
18.59424525,1.7,83.0531302,4.32,25.47224483958864
-37.96859848,2.35,116.31376631,3.62,25.47533910888772
-46.0415392,2.1,131.50689464,3.87,25.481096260718864
-46.15542775,0.9,131.82853523,5.71,25.481212528060496
49.86124281,5.51,51.08061889,1.79,25.49575804635292
-46.52919614,1.21,132.63943261,5.09,25.50392707280836
-45.45696814,0.6,120.081395,6.62,25.51075622412577
24.26518765,1.01,77.02759284,5.5,25.521606848624476
39.77078432,0.55,117.55633485,6.83,25.531813418637483
-63.55394067,0.66,172.3131,6.45,25.54771957359005
32.28827325,2.21,56.07969347,3.84,25.561961320175065
-59.27526115,4.71,139.27261834,2.21,25.575104591424626
-12.39395311,0.66,106.64986453,6.48,25.5777197833984
-2.98377649,1.76,122.14857362,4.36,25.587563460942185
-8.75407607,1.86,77.28659571,4.25,25.59756473790695
15.51719894,0.67,111.11520374,6.47,25.600373858109965
-45.4107261,1.21,130.48713962,5.2,25.613926729485605
55.90908136,0.59,35.17883085,6.76,25.61426019093665
-51.33615432,0.7,149.09125711,6.39,25.615490029887134
-27.93484165,2.68,105.42979876,3.49,25.630674033851793
2.44067149,2.43,73.5628985,3.71,25.6380314658828
-39.61855304,1.74,122.83958436,4.44,25.64274631065985
62.2876646,0.89,1.05693212,5.9,25.646950093933555
-49.05140511,0.55,114.82001187,6.97,25.67181328512308
-27.21478925,0.59,120.48800274,6.82,25.674260133716192
58.2316161,1.4,20.02049027,4.95,25.680639950831477
-58.2242904,0.68,158.95552555,6.52,25.68254456761759
-52.97563454,1.85,98.74411397,4.35,25.685858574749844
-11.29401875,1.15,106.6698695,5.41,25.713489004349913
60.32621728,0.97,9.11392475,5.78,25.713858945411193
-31.07053787,1.25,101.11862078,5.23,25.714550084287488
55.89552955,2.45,42.67413655,3.77,25.715830445100615
56.77489645,0.57,11.44146046,6.95,25.729374060760165
-48.4140703,0.86,149.42752387,6.06,25.732492235369833
-12.76478989,0.59,126.25167372,6.89,25.74425982854041
5.60510146,2.59,72.80152507,3.68,25.74649881528631
-20.85936003,0.61,107.09120548,6.82,25.746649397994407
7.39784444,0.6,100.57140294,6.86,25.750756472081093
25.95391597,1.55,89.49857371,4.81,25.76165836696859
60.71674966,5.32,14.17708808,2.15,25.77955832695077
-50.71611633,0.6,154.76072822,6.89,25.780756205052285
2.43731749,0.58,105.89405177,6.99,25.80713967682387
-12.18225682,-0.6,100.23878317,6.92,25.810756414860634
-25.2177645,1.01,111.35530599,5.79,25.811606810477503
-36.06759473,0.76,124.44230214,6.42,25.824068010735235
9.93416294,3.09,83.78449043,3.39,25.839792441781803
57.16923543,0.69,34.80809533,6.65,25.844245541865234
25.13115531,3.61,100.98304088,3.06,25.847535889266453
-1.59183293,1.27,83.1723102,5.34,25.859018724926415
-11.00680266,0.85,131.52871402,6.22,25.86709447992674
62.13496945,0.72,354.7046239,6.59,25.876662721332387
-42.98910371,2.27,129.41100573,4.11,25.89012940133006
-28.97208931,7.57,104.65644451,1.5,25.895479446770523
-58.19289036,0.7,158.9250642,6.68,25.90548999174016
-11.37745981,0.73,133.65937977,6.59,25.906614510224003
24.67247808,0.62,101.3479423,6.95,25.91195827380727
-13.59754104,0.81,59.11523947,6.37,25.91242498661201
22.90851943,0.76,93.07957899,6.51,25.914068163323126
-1.12878569,1.56,85.21131577,4.95,25.915622721527505
-59.18299905,1.76,159.68755215,4.69,25.91756338464824
-47.31714129,1.72,130.3047503,4.74,25.917642041902113
49.02115007,0.64,8.95289342,6.89,25.920899688208134
-23.84073435,1.1,106.8441212,5.75,25.95696347305393
-8.97941188,-0.81,110.50853709,6.42,25.962425177346873
-32.67484684,1.39,121.06747264,5.25,25.965073979079097
-60.42089968,1.02,150.50043754,5.93,25.97300064675566
69.68652608,0.65,17.30446371,6.93,25.994566532237837
-6.00202867,1.75,83.76117163,4.78,25.99519045336391
-30.96228313,1.86,112.67754202,4.65,25.99756483327438
-26.35251617,2.07,108.56340179,4.42,25.99985173365376
3.14157742,0.69,101.10584895,6.81,26.004245389277344
-43.43262406,5.69,136.99907126,2.23,26.005561372924028
4.12146667,2.01,84.79644123,4.5,26.015980276907605
-52.63879276,0.95,149.29562255,6.13,26.018618113865344
-36.72133746,0.71,127.62416525,6.78,26.036291888083166
-2.60006791,2.84,84.68652211,3.77,26.036591615611762
17.2312602,0.9,133.84534491,6.28,26.051212699721873
-17.95591658,6.53,95.6749475,1.98,26.054565995251334
21.86824073,-0.67,92.96422435,6.93,26.060373896256937
-33.56944572,0.96,121.43704092,6.15,26.061356212255276
0.89022204,1.14,98.81595606,5.78,26.0645244394328
29.09309528,0.83,122.3966208,6.47,26.065390208670564
56.60982421,0.92,36.31678817,6.25,26.068939176355496
-47.69910004,1.21,155.06967962,5.66,26.073926767632578
-42.76985034,1.05,126.23839828,5.97,26.07594618713493
63.64052431,0.93,0.85715406,6.24,26.082414530821957
-21.98259839,1.03,111.33323471,6.04,26.10418602527289
-34.37844543,0.71,119.26260924,6.86,26.11629181178922
28.9422714,0.9,89.14069946,6.35,26.12121239454609
-59.76101468,2.31,130.15431317,4.31,26.12805978854524
1.61352424,0.96,99.65911442,6.23,26.14135613596133
7.33297921,2.16,98.22595658,4.47,26.14226863233339
-2.39713844,3.62,81.11923774,3.35,26.14354268871051
71.64204906,1.14,353.74596038,5.86,26.144524363138856
-5.41606331,1.72,83.84541591,4.98,26.157642289857435
-72.5512595,1.03,132.45890766,6.1,26.164185968052433
-3.03967236,1.06,76.2271905,6.04,26.166529171162253
55.84565637,1.59,35.58930899,5.16,26.16698551473629
-55.18649115,0.95,139.88536568,6.28,26.168618209232775
-22.9414495,1.51,103.94554133,5.29,26.184884684748262
-54.96866057,1.97,92.574638,4.72,26.19233095264605
-60.17868581,1.01,150.74979136,6.18,26.2016066769631
5.17542697,0.79,96.86638542,6.72,26.208135305899415
4.15867686,1.31,91.24316628,5.63,26.21635649803615
61.10891703,1.76,59.28455287,4.99,26.217563098545945
20.57029939,2.79,106.02723079,4.01,26.23802121563766
-7.30152625,2.11,82.98275119,4.62,26.24141205419002
-62.48985585,3.14,83.40631813,3.76,26.24464830344515
-42.66910033,1.06,171.09191996,6.13,26.256529323750144
4.81809882,0.84,105.42267559,6.64,26.261396229256928
-61.36932645,0.81,171.74861891,6.72,26.262424891244578
-50.58426823,0.83,113.36383953,6.69,26.285390475699373
-58.73940856,3.13,156.96977108,3.81,26.28772170997582
-55.02931452,2.19,154.90318833,4.59,26.292220783624003
-4.1938248,1.53,91.66141788,5.37,26.29345699918356
-44.63245555,0.8,136.92717183,6.78,26.295450177396962
-5.38731536,-1.85,83.81592896,4.98,26.31585868919076
-10.6600828,0.92,106.45684067,6.5,26.318939176355496
-57.55763551,2.37,158.89714422,4.45,26.323741434552723
-56.04322401,2.34,155.22839581,4.5,26.346079207494377
-20.22426366,2.02,103.38712732,4.82,26.346756998498254
89.26413805,7.56,37.94614689,1.97,26.36260898970945
-57.95533279,1.1,166.00103542,6.16,26.366963320466038
59.15550819,1.88,61.11318196,5.0,26.370789240926253
17.52219078,0.76,85.34418073,6.97,26.37406772463294
-55.01069531,6.05,140.52845511,2.47,26.378776970367227
10.24475802,0.95,4.19031758,6.51,26.398618228306262
3.09567718,2.3,81.70928405,4.59,26.39863928775119
-14.14574673,2.07,99.81965168,4.82,26.39985182902119
-28.99202661,1.5,154.53166913,5.52,26.400456276349686
-55.21376962,1.21,145.44974998,5.99,26.403926691338633
57.13550187,-0.93,34.76855593,6.57,26.41241493136517
30.20861412,1.41,81.78446999,5.69,26.436095569246604
-48.49039742,2.16,125.63207774,4.79,26.462268803994768
-5.38969624,-1.85,83.81860863,5.13,26.465858784558193
62.6484507,0.79,55.45070668,6.99,26.47813528682593
-2.88192476,1.05,120.18390745,6.41,26.51594624435539
-13.92734983,1.8,80.8756493,5.25,26.526362468112794
-10.50949443,2.03,1.1255098,4.99,26.5274799301871
-30.33458703,2.26,119.41713237,4.76,26.53054241555175
55.75494069,2.14,359.75220729,4.88,26.532069087735316
57.03327608,0.86,42.30958114,6.86,26.532492426104696
60.85340647,0.85,358.4582782,6.92,26.567094766029037
34.2226737,2.21,49.68259978,4.85,26.571961310638322
-68.05982909,0.93,153.45522436,6.73,26.57241477877728
-32.50848752,4.13,102.46027285,3.5,26.579750318505354
51.79810649,0.89,15.7240897,6.84,26.586950151154014
-1.15607162,1.76,83.38102882,5.36,26.587563460942185
59.96938466,1.48,55.6780592,5.74,26.591308376224504
-34.14419295,1.62,95.15099685,5.55,26.597575269973653
60.44228144,3.27,75.854572,4.03,26.60273896051027
-33.18641133,3.86,130.89811451,3.68,26.612936531157587
-9.94753938,1.39,108.56467751,5.9,26.61507407444653
40.18238543,1.28,84.21841371,6.08,26.616049723578854
-61.33231977,4.43,154.27085535,3.39,26.622018651924535
15.06708124,1.04,30.46002672,6.54,26.625166578906594
61.80549823,1.31,12.81827283,6.04,26.626356345448258
57.2429201,1.11,35.48098509,6.4,26.62661501748118
-57.0773878,1.01,157.59341028,6.62,26.641606734183558
-57.97323049,1.37,125.30042487,5.96,26.643602881645457
-57.46741767,1.18,161.91003927,6.29,26.649409902043725
57.66324613,0.91,44.95300978,6.86,26.655207157939955
-10.31624854,1.34,108.61773082,6.02,26.655524027002684
-40.44815667,0.99,97.66950673,6.68,26.65817582246367
-46.60850937,1.95,116.88129103,5.22,26.67017290021502
24.21544652,1.97,105.6032693,5.2,26.672330971719536
38.4455521,1.8,99.13682373,5.4,26.676362563480225
-53.36984937,0.96,170.63201268,6.77,26.68135609781436
20.90542087,-0.93,92.84658437,6.84,26.682414912291684
-36.48419365,2.0,125.33770565,5.18,26.6851498067671
81.32642085,3.03,144.27229969,4.28,26.687213331887804
58.56058745,1.13,33.42338097,6.43,26.69539203678471
64.73935565,1.1,24.44666689,6.49,26.696963244172093
-13.17677698,3.03,79.89385817,4.29,26.697213083932482
-58.41546221,0.92,162.98419324,6.88,26.698939290796414
53.91084467,-1.53,68.00767912,5.78,26.70345732343283
-49.24492865,2.8,119.56018303,4.47,26.705789910000348
33.16613537,6.37,74.24840098,2.69,26.710697179919478
-33.50825066,0.9,146.56724285,6.94,26.711212547133982
-9.20297055,1.11,105.1639126,6.49,26.71661469323191
11.00317922,1.28,100.32173864,6.19,26.72604985709326
62.65371666,1.65,80.0942273,5.64,26.727419556309805
-50.47771844,0.92,150.24415062,6.91,26.728939023767605
-0.38246922,2.53,80.4406153,4.72,26.735602371600706
-11.30093428,1.1,105.4563024,6.54,26.746963434906956
-26.77268601,3.53,108.70275679,4.01,26.74887373828294
-57.9634477,0.97,143.32233375,6.82,26.75385890726422
-27.9453671,1.0,115.18082454,6.76,26.76000022909898
-62.15667622,1.18,150.70592901,6.41,26.769409787602807
-59.99332651,1.23,161.09549553,6.32,26.769525762707712
41.07588953,4.14,75.61950025,3.69,26.77500169284773
-42.58749881,1.08,127.21694699,6.61,26.777118997436773
30.79754858,1.04,77.64573141,6.71,26.79516665520054
-7.51800251,1.94,87.84159736,5.36,26.79900884732522
28.90501143,1.02,79.31444619,6.76,26.803001047298874
58.32734523,1.67,23.35711597,5.69,26.803582357286313
-49.82281081,2.15,130.91781669,5.15,26.812192491366336
40.01027315,6.06,59.46342138,2.9,26.81236319573096
18.13047056,1.23,92.75737574,6.37,26.819525476605417
-47.92893948,1.99,127.26982565,5.33,26.824265316270125
-61.1151713,2.1,171.64764356,5.22,26.831096165351433
-24.67409186,1.75,116.14238612,5.62,26.835190129114643
66.09896341,1.57,0.65034249,5.87,26.849498220290226
-6.06475248,1.7,84.14872314,5.71,26.862244706074236
18.54023092,1.74,83.3817907,5.67,26.872746329733335
-75.09977108,1.39,164.31585745,6.16,26.875073826491207
-3.25283754,1.25,83.89960025,6.4,26.884550160581433
-1.71736064,1.18,83.28060605,6.53,26.889410149999048
-48.099099,1.93,130.56748955,5.48,26.907786505210225
-8.10753345,1.13,90.004718,6.65,26.91539230381352
-56.34345263,1.05,136.13212106,6.81,26.915946339722822
57.64554793,1.28,32.87164306,6.38,26.916049914313717
42.32984832,9.19,30.97466283,2.1,26.916577362437017
58.42360489,1.79,32.16908619,5.66,26.924264956156296
-41.50374024,1.0,116.77997441,6.93,26.92999982855577
-11.77324372,1.95,95.35299081,5.48,26.930173129096858
-13.75131424,1.21,171.47506157,6.52,26.933926901146982
-25.23104384,1.78,107.42928078,5.69,26.942100033984495
-49.55798568,1.03,135.00455722,6.88,26.944186177860782
46.42029095,2.49,356.50849555,4.97,26.950996534074317
41.1234253,-1.04,83.57087511,6.87,26.95516650261265
5.66086634,1.12,83.68066144,6.71,26.95609016093675
47.7876533,6.18,55.7311754,3.01,26.964942305625648
-66.51194568,1.05,168.84236143,6.86,26.965946530457686
-4.76214677,2.41,96.98988336,5.06,26.970085233079658
-46.85774089,1.7,117.30361005,5.82,26.97224483958864
-46.54764424,3.01,147.91953494,4.58,26.972832394867424
-45.75292764,1.33,128.25777973,6.36,26.979258408580385
9.48958528,3.31,83.70515764,4.39,26.989139797891227
14.66144102,1.42,23.94350195,6.23,26.99144167551529
28.70363798,1.01,356.606338,6.97,26.991606638816126
-56.34106089,1.05,136.13687408,6.89,26.995946263428877
57.45137702,1.95,356.75797734,5.55,27.000173300758235
-59.6193167,1.79,168.37829647,5.74,27.00426487986235
-60.56662705,3.06,160.88461543,4.58,27.008607015579475
16.674465,1.7,105.63872677,5.86,27.012244801441668
34.18636116,1.18,81.37499484,6.66,27.019409787602807
-6.28800944,1.34,352.75478141,6.39,27.025523912561766
37.3018512,1.59,77.57835458,6.02,27.026985648250694
-40.32015599,2.05,132.41319515,5.47,27.02876904506714
-20.92562047,1.77,94.74573891,5.79,27.029866270384993
-24.25606945,1.15,116.46607741,6.73,27.03348917601129
65.52600645,3.38,57.38035594,4.39,27.03458344146039
-37.29238656,1.33,122.75702941,6.42,27.039258351359926
-16.01448125,1.36,116.93838574,6.38,27.04769467929223
3.2921351,2.08,82.81054942,5.46,27.050316633416042
71.80712256,1.07,6.46350133,6.91,27.05691884248807
-70.53852074,3.02,136.40992522,4.66,27.060034548555347
-8.99850109,2.49,101.90509833,5.08,27.06099666758872
11.792292,1.22,97.91410314,6.64,27.07179907096054
10.00587109,1.06,47.70473888,6.95,27.076529018574362
-55.60327905,3.62,159.82671887,4.29,27.08354274593097
47.64230158,1.13,15.97234676,6.82,27.085392380107464
-15.99069738,1.43,116.91053163,6.31,27.086680050607562
-60.30232993,1.44,140.86388943,6.3,27.091812737648468
-56.47109287,1.44,117.08127238,6.3,27.091812737648468
1.8551579,2.93,88.11017813,4.76,27.094338380201382
-64.39447937,7.43,160.73927802,2.74,27.09494402819954
